音	Âm (âm thanh)
首	Thủ (cái cổ, thủ tướng)
週	Chu (tuần)
秋	Thu (mùa thu)
書	Thư - sách
小	Tiểu (nhỏ)
正	Chính/Chánh - chính đáng, chính xác
少	Thiểu (ít, thiểu số)
女	Nữ - con gái
上	Thượng (bên trên)
食	Thực - thực phẩm
場	Trường - địa điểm, nơi chốn
色	Sắc (màu sắc)
出	Xuất - Xuất ngoại
森	Sâm (rừng sâu)
新	Tân mới, cách tân, shin
親	Thân - người thân
心	Tâm - tâm trí
人	Nhân - người
春	Xuân - mùa xuân
弱	Nhược - nhược điểm, yếu
水	Thủy (nước)
数	Số (số học, chữ số)
西	Tây (phía tây)
生	Sinh - sinh sản
青	Thanh - màu xanh
星	Tinh - ngôi sao
声	Thanh (âm thanh)
晴	Tình ( trời nắng)
赤	Xích (màu đỏ)
石	Thạch (đá)
夕	Tịch (buổi chiều)
雪	Tuyết (bông tuyết)
切	Thiết - cắt
千	Thiên - ~ nghìn
先	Tiên (trước, tiên sinh)
川	Xuyên (sông)
船	Thuyền (cái thuyền)
線	Tuyến - tuyến đường, đường dây
前	Tiền - trước, mặt tiền
草	Thảo (cỏ)
早	Tảo - nhanh chóng
走	Tẩu (chạy)
組	Tổ - nhóm, tổ chức
足	Túc (bàn chân)
村	Thôn (thôn làng)
図	Đồ - bản đồ, bức vẽ
頭	Đầu (cái đầu)
体	Thể - cơ thể
太	Thái - béo, dày
大	Đại - to lớn
台	Đài - cái bệ
弟	Đệ (em trai)
多	Đa - đa, nhiều
男	Nam (con trai)
竹	Trúc (cây trúc)
土	Thổ (đất, thổ nhưỡng)
読	Độc - đọc
虫	Trùng (côn trùng)
中	Trung (ở giữa)
昼	Trú (buổi trưa)
通	Thông (thông qua, xuyên qua)
直	Trực (ngay thẳng, sửa chữa)
長	Trường - dài
朝	Triều (buổi sáng)
町	Đinh - thị trấn
鳥	Điểu (con chim)
茶	Trà (trà đạo)
天	Thiên (trời)
点	Điểm - điểm số trọng điểm
店	Điếm (cửa hàng)
田	Điền - ruộng ,den
電	Điện (chớp, điện)
池	Trì (cái ao)
地	Địa - đất
知	Tri (tri thức, hiểu biết)
道	Đạo - con đường, con phố
同	Đồng - giống nhau
冬	Đông (mùa đông)
刀	Đao (đao kiếm)
当	Đương
答	Đáp (trả lời, đáp án)
東	Đông (phía đông)
ニ	Nhị - 2
日	Nhật - mặt trời, ngày
入	Nhập (vào trong, nhập khẩu)
年	Niên năm, niên đại nen
肉	Nhục (thịt)
内	Nội - bên trong, ở giữa
南	Nam (phía nam)
白	Bạch (màu trắng)
八	Bát - 8
百	Bách - ~trăm
本	Bản (sách, Nhật Bản)
番	Phiên (lần lượt)
父	Phụ (bố)
風	Phong - gió
分	Phân - phân chia, phút
聞	Văn/Vấn (nghe/hỏi)
半	Bán (một nửa)
馬	Mã ngựa
麦	Mạch (lúa mạch)
買	Mãi (mua)
売	Mại (bán)
米	Mễ - gạo
歩	Bộ (đường bộ, đi bộ, con tốt)
方	Phương - phương hướng
北	Bắc (phía bắc)
母	Mẫu (mẹ)
名	Danh (tên, danh nhân)
鳴	Minh (kêu, réo)
明	Minh quang minh
文	Văn (văn hóa,văn học)
門	Môn cửa, nhập môn, cửa
毎	Mỗi (mỗi ngày)
妹	Muội (em gái)
万	Vạn, nhiều, man, ban
毛	Mao (lông)
木	Mộc - cây
目	Mục - mắt
野	Dã (hoang dã, dã cầu)
夜	Dạ (buổi tối)
曜	Diệu (ngày)
用	Dụng - sử dụng
右	Hữu (bên phải)
友	Hữu (bạn hữu)
力	Lực - sức lực
立	Lập
林	Lâm (rừng)
六	Lục - 6
来	Lai (tới, đến)
里	Lý - quê hương
理	Lí - lý luận
話	Thoại (hội thoại)
